iter	Passed	Remaining
272	1291	3438
273	1294	3430
274	1298	3422
275	1302	3415
276	1306	3409
277	1309	3401
278	1313	3393
279	1317	3386
280	1321	3381
281	1324	3373
282	1328	3365
283	1333	3362
284	1338	3357
285	1341	3349
286	1345	3341
287	1350	3337
288	1353	3330
289	1357	3322
290	1360	3315
291	1365	3311
292	1369	3304
293	1372	3296
294	1376	3289
295	1380	3283
296	1384	3276
297	1387	3269
298	1391	3262
299	1396	3259
300	1400	3252
301	1404	3245
302	1407	3238
303	1414	3239
304	1418	3232
305	1422	3225
306	1425	3218
307	1430	3213
308	1433	3206
309	1437	3199
310	1440	3192
311	1445	3187
312	1448	3180
313	1452	3173
314	1456	3166
315	1460	3160
316	1463	3153
317	1467	3146
318	1470	3139
319	1475	3134
320	1478	3128
321	1482	3121
322	1486	3115
323	1490	3110
324	1494	3103
325	1498	3097
326	1501	3091
327	1507	3088
328	1510	3081
329	1514	3074
330	1517	3068
331	1523	3064
332	1526	3057
333	1530	3051
334	1533	3044
335	1538	3040
336	1541	3033
337	1545	3027
338	1549	3020
339	1553	3016
340	1557	3009
341	1561	3003
342	1564	2996
343	1569	2992
344	1572	2986
345	1576	2979
346	1579	2973
347	1585	2969
348	1588	2963
349	1592	2957
350	1596	2951
351	1601	2948
352	1605	2941
353	1608	2935
354	1612	2929
355	1616	2924
356	1620	2918
357	1623	2912
358	1627	2906
359	1632	2901
360	1635	2895
361	1639	2889
362	1642	2882
363	1647	2879
364	1651	2873
365	1655	2867
366	1661	2865
367	1665	2861
368	1669	2855
369	1674	2850
370	1679	2846
371	1682	2841
372	1686	2834
373	1691	2831
374	1695	2826
375	1699	2820
376	1703	2814
377	1708	2811
378	1712	2805
379	1715	2799
380	1719	2793
381	1725	2791
382	1729	2786
383	1733	2780
384	1739	2778
385	1743	2774
386	1747	2768
387	1754	2768
388	1759	2763
389	1763	2758
390	1772	2760
391	1776	2754
392	1780	2749
393	1784	2744
394	1789	2740
395	1793	2734
396	1796	2729
397	1801	2725
398	1805	2719
399	1809	2714
400	1813	2709
401	1819	2707
402	1823	2701
403	1827	2695
404	1830	2689
405	1835	2684
406	1839	2679
407	1842	2673
408	1846	2668
409	1850	2663
410	1854	2657
411	1858	2652
412	1863	2648
413	1867	2643
414	1871	2637
415	1875	2632
416	1879	2628
417	1883	2622
418	1887	2616
419	1890	2611
420	1894	2605
421	1898	2600
422	1902	2594
423	1905	2588
424	1909	2583
425	1912	2577
426	1916	2571
427	1919	2565
428	1923	2559
429	1926	2553
430	1930	2548
431	1933	2542
432	1937	2536
433	1940	2531
434	1944	2525
435	1947	2519
436	1951	2514
437	1954	2508
438	1958	2502
439	1961	2496
440	1965	2491
441	1968	2485
442	1972	2480
443	1976	2474
444	1979	2468
445	1982	2463
446	1986	2457
447	1990	2452
448	1993	2446
449	1996	2440
450	2000	2435
451	2004	2429
452	2007	2424
453	2011	2418
454	2014	2412
455	2018	2407
456	2021	2402
457	2025	2396
458	2028	2391
459	2032	2385
460	2036	2380
461	2039	2375
462	2043	2369
463	2046	2364
464	2050	2359
465	2054	2354
466	2057	2348
467	2061	2343
468	2066	2339
469	2070	2334
470	2075	2331
471	2079	2325
472	2082	2320
473	2086	2314
474	2089	2309
475	2093	2304
476	2096	2298
477	2100	2293
478	2103	2287
479	2107	2282
480	2110	2277
481	2114	2272
482	2117	2266
483	2121	2261
484	2124	2256
485	2128	2250
486	2131	2245
487	2134	2239
488	2138	2234
489	2141	2229
490	2145	2223
491	2148	2218
492	2152	2213
493	2156	2208
494	2159	2203
495	2163	2198
496	2167	2193
497	2170	2187
498	2173	2182
499	2177	2177
500	2181	2172
501	2184	2167
502	2188	2162
503	2191	2156
504	2195	2152
505	2199	2146
506	2202	2141
507	2206	2136
508	2209	2131
509	2213	2126
510	2217	2121
511	2221	2116
512	2224	2112
513	2228	2106
514	2231	2101
515	2235	2096
516	2239	2091
517	2242	2086
518	2246	2081
519	2249	2076
520	2253	2071
521	2256	2066
522	2260	2061
523	2263	2056
524	2267	2051
525	2270	2046
526	2274	2041
527	2277	2036
528	2281	2031
529	2284	2026
530	2288	2021
531	2291	2015
532	2294	2010
533	2298	2005
534	2302	2001
535	2306	1996
536	2309	1991
537	2313	1986
538	2317	1981
539	2320	1976
540	2324	1971
541	2327	1966
542	2331	1962
543	2335	1957
544	2339	1952
545	2342	1947
546	2346	1943
547	2349	1938
548	2353	1933
549	2356	1928
550	2360	1923
551	2364	1918
552	2367	1913
553	2371	1908
554	2374	1904
555	2378	1899
556	2380	1893
557	2384	1888
558	2388	1883
559	2391	1879
560	2395	1874
561	2398	1869
562	2401	1864
563	2405	1859
564	2408	1854
565	2412	1849
566	2415	1844
567	2419	1840
568	2423	1835
569	2426	1830
570	2430	1825
571	2433	1821
572	2437	1816
573	2440	1811
574	2444	1806
575	2448	1802
576	2452	1798
577	2456	1793
578	2460	1788
579	2463	1784
580	2467	1779
581	2470	1774
582	2474	1769
583	2477	1765
584	2481	1760
585	2485	1755
586	2488	1751
587	2490	1745
588	2494	1740
589	2497	1735
590	2501	1731
591	2504	1726
592	2508	1721
593	2512	1717
594	2515	1712
595	2519	1707
596	2523	1703
597	2526	1698
598	2531	1694
599	2535	1690
600	2538	1685
601	2542	1680
602	2545	1676
603	2549	1671
604	2553	1667
605	2556	1662
606	2560	1657
607	2563	1652
608	2567	1648
609	2571	1643
610	2574	1639
611	2578	1634
612	2582	1630
613	2585	1625
614	2589	1621
615	2593	1616
616	2596	1612
617	2600	1607
618	2603	1602
619	2608	1598
620	2612	1594
621	2615	1589
622	2619	1584
623	2622	1580
624	2626	1575
625	2629	1571
626	2633	1566
627	2636	1561
628	2640	1557
629	2644	1552
630	2648	1548
631	2651	1544
632	2656	1539
633	2660	1535
634	2663	1531
635	2667	1526
636	2671	1522
637	2674	1517
638	2678	1513
639	2681	1508
640	2685	1504
641	2689	1499
642	2692	1495
643	2696	1490
644	2700	1486
645	2703	1481
646	2707	1477
647	2710	1472
648	2714	1468
649	2717	1463
650	2721	1458
651	2724	1454
652	2728	1449
653	2732	1445
654	2735	1440
655	2738	1436
656	2742	1431
657	2745	1427
658	2749	1422
659	2752	1418
660	2756	1413
661	2760	1409
662	2764	1405
663	2767	1400
664	2771	1396
665	2774	1391
666	2778	1387
667	2781	1382
668	2785	1378
669	2789	1373
670	2793	1369
671	2796	1365
672	2800	1360
673	2803	1356
674	2807	1351
675	2810	1347
676	2814	1342
677	2821	1339
678	2825	1335
679	2829	1331
680	2832	1326
681	2836	1322
682	2839	1318
683	2843	1313
684	2847	1309
685	2850	1304
686	2854	1300
687	2857	1295
688	2861	1291
689	2864	1287
690	2868	1282
691	2871	1278
692	2874	1273
693	2878	1269
694	2882	1264
695	2885	1260
696	2889	1255
697	2892	1251
698	2896	1247
699	2899	1242
700	2903	1238
701	2907	1234
702	2911	1229
703	2914	1225
704	2918	1221
705	2921	1216
706	2925	1212
707	2929	1208
708	2932	1203
709	2936	1199
710	2939	1194
711	2943	1190
712	2946	1186
713	2949	1181
714	2954	1177
715	2959	1173
716	2963	1169
717	2966	1165
718	2970	1160
719	2973	1156
720	2977	1152
721	2981	1147
722	2984	1143
723	2988	1139
724	2991	1134
725	2994	1130
726	2998	1126
727	3002	1121
728	3005	1117
729	3009	1112
730	3012	1108
731	3016	1104
732	3019	1099
733	3023	1095
734	3026	1091
735	3030	1086
736	3033	1082
737	3036	1078
738	3040	1073
739	3044	1069
740	3047	1065
741	3050	1060
742	3054	1056
743	3058	1052
744	3061	1047
745	3065	1043
746	3068	1039
747	3072	1035
748	3075	1030
749	3079	1026
750	3082	1022
751	3086	1017
752	3090	1013
753	3093	1009
754	3097	1005
755	3101	1000
756	3105	996
757	3108	992
758	3112	988
759	3115	983
760	3119	979
761	3122	975
762	3126	971
763	3129	966
764	3133	962
765	3136	958
766	3140	954
767	3144	949
768	3148	945
769	3151	941
770	3155	937
771	3158	932
772	3162	928
773	3165	924
774	3168	920
775	3172	915
776	3176	911
777	3179	907
778	3183	903
779	3187	899
780	3191	894
781	3196	891
782	3199	886
783	3203	882
784	3206	878
785	3210	874
786	3213	869
787	3217	865
788	3220	861
789	3224	857
790	3227	852
791	3231	848
792	3235	844
793	3238	840
794	3242	836
795	3245	831
796	3249	827
797	3253	823
798	3256	819
799	3259	814
800	3263	810
801	3267	806
802	3270	802
803	3272	797
804	3275	793
805	3279	789
806	3283	785
807	3286	780
808	3290	776
809	3294	772
810	3297	768
811	3300	764
812	3304	760
813	3308	755
814	3312	751
815	3315	747
816	3319	743
817	3323	739
818	3327	735
819	3330	731
820	3334	726
821	3338	722
822	3341	718
823	3345	714
824	3348	710
825	3352	706
826	3356	702
827	3359	697
828	3363	693
829	3366	689
830	3370	685
831	3373	681
832	3377	677
833	3380	672
834	3384	668
835	3387	664
836	3391	660
837	3394	656
838	3398	652
839	3401	647
840	3405	643
841	3408	639
842	3412	635
843	3416	631
844	3419	627
845	3423	623
846	3426	619
847	3430	614
848	3433	610
849	3437	606
850	3440	602
851	3444	598
852	3447	594
853	3451	590
854	3454	585
855	3458	581
856	3461	577
857	3465	573
858	3468	569
859	3472	565
860	3475	561
861	3479	557
862	3482	552
863	3486	548
864	3490	544
865	3493	540
866	3497	536
867	3500	532
868	3504	528
869	3507	524
870	3511	520
871	3514	515
872	3518	511
873	3522	507
874	3525	503
875	3529	499
876	3532	495
877	3536	491
878	3539	487
879	3543	483
880	3547	479
881	3550	475
882	3554	470
883	3557	466
884	3561	462
885	3565	458
886	3569	454
887	3572	450
888	3576	446
889	3580	442
890	3584	438
891	3587	434
892	3591	430
893	3595	426
894	3598	422
895	3601	418
896	3605	414
897	3609	409
898	3612	405
899	3616	401
900	3620	397
901	3623	393
902	3627	389
903	3630	385
904	3634	381
905	3637	377
906	3641	373
907	3644	369
908	3648	365
909	3651	361
910	3655	357
911	3658	353
912	3662	348
913	3665	344
914	3669	340
915	3673	336
916	3676	332
917	3680	328
918	3683	324
919	3687	320
920	3690	316
921	3694	312
922	3698	308
923	3700	304
924	3703	300
925	3707	296
926	3711	292
927	3714	288
928	3718	284
929	3721	280
930	3725	276
931	3728	272
932	3732	268
933	3735	263
934	3739	259
935	3743	255
936	3746	251
937	3749	247
938	3754	243
939	3757	239
940	3761	235
941	3764	231
942	3768	227
943	3772	223
944	3775	219
945	3779	215
946	3782	211
947	3786	207
948	3789	203
949	3793	199
950	3796	195
951	3800	191
952	3803	187
953	3807	183
954	3811	179
955	3814	175
956	3818	171
957	3822	167
958	3825	163
959	3829	159
960	3832	155
961	3836	151
962	3839	147
963	3842	143
964	3846	139
965	3849	135
966	3853	131
967	3857	127
968	3860	123
969	3864	119
970	3867	115
971	3871	111
972	3875	107
973	3878	103
974	3882	99
975	3885	95
976	3889	91
977	3892	87
978	3896	83
979	3900	79
980	3903	75
981	3907	71
982	3910	67
983	3914	63
984	3917	59
985	3921	55
986	3924	51
987	3928	47
988	3931	43
989	3936	39
990	3940	35
991	3944	31
992	3948	27
993	3951	23
994	3955	19
995	3958	15
996	3962	11
997	3965	7
998	3969	3
999	3972	0
